Country Name;Interpersonal violence;Alcohol use disorders;Drug use disorders;Self-harm; Conflict and terrorism
Afghanistan;5015;147;406;1613;24295
Albania;57;18;29;152;0
Algeria;459;111;526;1515;13
Andorra;0;1;0;8;0
Angola;974;211;80;1928;16
Antigua and Barbuda;5;7;0;3;0
Argentina;2881;821;86;5029;0
Armenia;153;69;10;287;0
Australia;322;590;1128;2898;0
Austria;70;517;140;1418;0
Azerbaijan;372;225;39;379;0
Bahamas;111;18;2;12;0
Bahrain;27;6;3;77;0
Bangladesh;3954;322;299;7365;155
Barbados;33;8;1;15;0
Belarus;776;2973;235;2272;0
Belgium;163;525;224;2212;0
Belize;114;11;1;28;0
Benin;898;68;15;742;1
Bermuda;2;1;1;3;0
Bhutan;7;7;2;41;0
Bolivia;615;368;56;743;0
Bosnia and Herzegovina;84;90;11;366;0
Botswana;469;29;7;403;0
Brazil;65907;9705;1127;13503;0
Brunei;6;2;2;25;0
Bulgaria;182;101;69;1087;0
Burkina Faso;2139;156;58;1545;707
Burundi;126;86;16;800;80
Cambodia;495;133;37;785;2
Cameroon;916;187;79;2260;626
Canada;552;1361;2526;4699;1
Cape Verde;81;5;1;82;0
Chad;1234;88;14;996;276
Chile;793;531;71;2006;0
China;11970;19459;11445;121217;0
Colombia;17061;124;127;2731;0
Comoros;67;6;2;41;0
Congo;245;55;23;423;0
Cook Islands;0;0;0;2;0
Costa Rica;503;84;26;389;0
Cote d'Ivoire;2307;191;38;1960;10
Croatia;47;268;70;694;0
Cuba;642;570;31;1736;0
Cyprus;21;9;17;67;0
Czechoslovakia;105;445;136;1479;0
Democratic Republic of Congo;2891;672;217;5980;1630
Denmark;43;817;198;668;0
Djibouti;109;12;3;75;0
Dominica;8;4;0;4;0
Dominican Republic;1993;151;53;671;0
Ecuador;1907;349;67;1678;0
Egypt;512;150;82;3105;682
El Salvador;3047;874;11;531;0
England;260;1337;1914;4436;2
Estonia;58;214;128;208;0
Ethiopia;7175;647;217;5655;165
Fiji;35;2;3;84;0
Finland;83;565;291;873;0
France;538;3748;1839;11014;0
Gabon;76;19;10;172;2
Gambia;15;14;3;129;0
Georgia;125;42;26;313;0
Germany;617;6379;1678;11664;0
Ghana;774;231;58;2065;20
Greece;130;42;186;500;0
Greenland;5;9;2;34;0
Guatemala;6293;1769;218;953;0
Guinea;987;80;17;805;13
Guyana;179;27;2;250;0
Haiti;3519;383;42;1017;0
Honduras;3321;389;104;241;0
Hungary;144;541;63;1902;0
Hong Kong;125;42;26;313;0
Iceland;2;8;14;37;0
India;40954;23261;8465;195336;688
Indonesia;2261;653;589;7658;57
Iran;2209;250;2918;4172;38
Iraq;4816;57;585;2075;1779
Ireland;32;95;200;435;0
Israel;184;65;63;545;6
Italy;488;351;563;4315;0
Jamaica;420;9;6;89;0
Japan;716;670;490;24773;0
Jordan;352;17;17;260;4
Kazakhstan;1752;1701;749;4275;0
Kenya;4606;340;92;3155;68
Kuwait;42;10;23;135;0
Kyrgyzstan;297;403;63;600;0
Laos;560;70;17;430;0
Latvia;136;285;51;392;0
Lebanon;216;15;127;176;14
Liberia;127;32;7;259;0
Libya;130;24;202;347;1039
Lithuania;150;317;169;857;0
Luxembourg;7;28;15;69;0
Madagascar;517;159;49;1522;139
Malawi;333;126;39;1209;0
Malaysia;577;176;138;1803;0
Maldives;10;1;2;20;0
Mali;2315;100;19;947;1170
Malta;5;3;9;24;0
Mauritania;200;18;5;155;0
Mauritius;32;76;14;113;0
Mexico;30673;4518;596;7805;0
Micronesia ;9;2;1;23;0
Moldova;208;439;28;549;0
Monaco;0;0;0;5;0
Mongolia;288;584;20;592;0
Montenegro;21;8;1;117;0
Morocco;350;111;407;2566;0
Mozambique;1811;258;135;2440;159
Myanmar;704;388;214;1956;617
Namibia;438;28;6;261;0
Nauru;1;0;0;2;0
Nepal;535;227;36;3528;21
Netherlands;144;480;176;2017;0
New Zealand;58;57;65;512;0
Nicaragua;395;387;12;355;0
Niger;1962;101;14;972;395
Nigeria;12958;1221;274;7970;3086
Niue;0;0;0;0;0
North Korea;827;384;338;2954;0
North Macedonia;44;27;13;211;0
Northern Ireland;13;65;61;201;0
Norway;32;241;239;562;0
Oman;30;8;17;118;0
Pakistan;13446;2142;867;17688;500
Palau;2;0;0;3;0
Palestine;307;7;8;124;60
Panama;625;32;19;199;0
Papua New Guinea;983;99;25;289;0
Paraguay;823;318;15;427;0
Peru;1142;342;166;1016;0
Philippines;15570;1105;325;4569;419
Poland;617;4380;211;6578;0
Portugal;166;182;51;1357;0
Puerto Rico;696;141;55;249;0
Qatar;27;6;8;131;0
Romania;380;545;149;2182;0
Russia;22285;28460;5877;39040;20
Rwanda;461;123;19;759;1
Saint Kitts and Nevis;10;11;0;2;0
Saint Lucia;32;9;1;13;0
Saint Vincent and the Grenadines;23;8;0;8;0
Samoa;12;2;1;25;0
San Marino;0;0;0;4;0
Saudi Arabia;403;104;201;1791;0
Scotland;48;270;506;671;0
Senegal;187;89;20;1126;2
Serbia;203;376;72;1535;0
Singapore;25;13;16;464;0
Slovakia;118;218;18;695;0
Slovenia;19;209;28;410;0
Solomon Islands;34;13;4;144;0
Somalia;2578;143;23;1325;1686
South Africa;19122;582;115;7864;38
South Korea;746;997;119;14575;0
South Sudan;874;54;10;419;470
Spain;335;429;728;3759;1
Sri Lanka;768;398;134;4425;282
Sudan;626;100;380;2029;101
Suriname;49;16;3;145;0
Sweden;120;364;485;1369;0
Switzerland;54;277;212;1171;0
Syria;300;61;153;320;6900
Taiwan;343;415;518;4299;0
Tajikistan;234;147;24;464;0
Tanzania;3462;350;193;3231;19
Thailand;4035;634;486;7107;60
Timor;37;7;2;63;0
Togo;559;53;18;591;0
Tonga;2;1;0;5;0
Trinidad and Tobago;316;32;10;155;0
Tunisia;78;34;158;410;15
Turkey;1605;240;345;2585;309
Turkmenistan;214;180;66;440;0
Tuvalu;1;0;0;2;0
Uganda;2378;261;46;2167;61
Ukraine;5279;7716;1477;13690;227
United Arab Emirates;87;76;805;664;0
United Kingdom;339;1762;2654;5618;2
United States;17709;14044;65717;45349;31
Uruguay;212;111;15;666;0
Uzbekistan;974;156;188;3793;0
Venezuela;10944;188;90;2310;0
Vietnam;1267;1000;1176;8114;0
Wales;18;90;173;310;0
Yemen;820;82;261;1560;13402
Zambia;1616;137;60;1398;1
Zimbabwe;1434;53;127;2403;11
